k0,kc,T,H,n_trades,n_closed,n_abort,median_ruce_net,mean_ruce_net,median_roce_net,median_duration,pct_profitable
2.0,0.0,120,30,1798,1085,713,0.048876,0.078666,0.024474,6.0,0.8157
2.0,0.5,120,30,1898,834,1064,0.046937,0.086696,0.023559,5.0,0.8201
2.0,1.0,120,30,1959,593,1366,0.048113,0.10127,0.023146,4.0,0.8179
2.33,0.0,120,30,1216,729,487,0.051492,0.088457,0.025342,6.0,0.8052
2.33,0.5,120,30,1262,561,701,0.052916,0.099059,0.024408,5.0,0.8146
2.33,1.0,120,30,1291,393,898,0.055512,0.116731,0.025224,5.0,0.827
1.65,0.0,120,90,2734,1615,1119,0.045883,0.068343,0.022999,5.0,0.8019
1.65,0.5,120,90,2944,1214,1730,0.044962,0.074091,0.021609,4.0,0.8031
1.65,1.0,120,90,3099,861,2238,0.045249,0.0845,0.020859,4.0,0.806
2.0,0.0,120,90,1763,1051,712,0.049464,0.080344,0.025015,5.0,0.8192
2.0,0.5,120,90,1872,808,1064,0.047072,0.087601,0.024264,5.0,0.8243
2.0,1.0,120,90,1944,578,1366,0.048495,0.103363,0.023544,4.0,0.8253
2.33,0.0,120,90,1196,710,486,0.051616,0.090614,0.025664,6.0,0.8014
2.33,0.5,120,90,1250,549,701,0.053308,0.100544,0.025015,5.0,0.8142
2.33,1.0,120,90,1285,387,898,0.057484,0.119662,0.025362,5.0,0.8295
1.65,0.0,120,120,2727,1608,1119,0.045872,0.068877,0.023147,5.0,0.8035
1.65,0.5,120,120,2939,1209,1730,0.044933,0.074486,0.021627,4.0,0.8031
1.65,1.0,120,120,3099,861,2238,0.045247,0.08449,0.021004,4.0,0.8072
2.0,0.0,120,120,1759,1047,712,0.049464,0.080505,0.025161,5.0,0.8214
2.0,0.5,120,120,1869,805,1064,0.047184,0.087547,0.024336,5.0,0.8248
2.0,1.0,120,120,1944,578,1366,0.048495,0.103048,0.023576,4.0,0.827
2.33,0.0,120,120,1192,706,486,0.051727,0.090939,0.025777,6.0,0.8059
2.33,0.5,120,120,1247,546,701,0.053112,0.100823,0.025302,5.0,0.8168
2.33,1.0,120,120,1285,387,898,0.057466,0.119432,0.025362,5.0,0.832
