pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted,spans_adj_change
696046__147535,696046,147535,2021-01-08,2021-01-12,4,18.514763282141,18.675281228329,18.313186295008,18.728034886127443,0.022652999015934653,-0.00866972716539295,0.013983271850541703,0.005313544685148754,0.013218,0.00011,0.0136103021,0.0136668035,0.004151,0.013873682809445812,0.005203955644052863,0.0009760960601642448,convergence,False,False
696046__147535,696046,147535,2021-06-11,2021-06-18,7,20.456868644282,20.271711942141,20.151243378526626,20.085985106339784,-0.0032384240992484803,0.009051077433239256,0.005812653333990776,0.014863730767230032,0.013218,0.000192,0.0136640026,0.0134879957,-0.012881,0.005620872512072968,0.014671949945312223,0.027678842808823947,convergence,False,False
696046__147535,696046,147535,2021-08-03,2021-08-17,14,22.787409619765,23.655345311905997,22.559688481985937,23.214032112060426,0.029004994044886177,-0.03808838769406151,-0.009083393649175334,-0.047171781343236845,0.013218,0.000384,0.0134815391,0.013460763,-0.001541,-0.00946695529301095,-0.04755534298707246,-0.04596711870463205,convergence,False,False
696046__147535,696046,147535,2022-10-13,2022-10-18,5,17.976955633812,18.143137322376,18.075254404821965,18.069595859949338,-0.0003130547845079217,-0.009244150786656857,-0.00955720557116478,-0.018801356357821635,0.013218,0.000137,0.0121407838,0.0120452188,-0.007871,-0.009694191872534643,-0.018938342659191497,-0.011006973000757364,convergence,False,False
696046__147535,696046,147535,2022-11-10,2022-11-25,15,19.122294612140998,20.000615235953,19.261190165074815,19.88768131792419,0.03252608730198589,-0.04593175879919475,-0.013405671497208858,-0.05933743029640361,0.013218,0.000411,0.0124216656,0.0122473983,-0.014029,-0.013816630401318447,-0.059748389200513195,-0.04505665394326417,convergence,False,False
696046__147535,696046,147535,2024-01-11,2024-01-16,5,18.743843427624,19.548797098094,18.898914438467937,19.427302074141185,0.027958623623256223,-0.042944963426427646,-0.014986339803171423,-0.057931303229599065,0.013218,0.000137,0.0120682581,0.0120211095,-0.003907,-0.015123326104541287,-0.05806828953096893,-0.054036481155730114,convergence,False,False
696046__147535,696046,147535,2024-07-18,2024-07-31,13,22.15995425,22.219565130234997,22.079855770914804,22.113529992117854,0.001525110560160824,-0.002690027224898212,-0.0011649166647373877,-0.0038549438896355996,0.013218,0.000356,0.0119432927,0.0119445769,0.000108,-0.0015210810482990315,-0.004211108273197243,-0.004318785469112023,convergence,False,False
696046__147535,696046,147535,2024-12-09,2024-12-12,3,23.066275463812,23.344092749999998,22.901193771614885,23.166079494079668,0.011566459159570013,-0.012044306269725078,-0.0004778471101550656,-0.012522153379880144,0.013218,8.2e-05,0.0117806451,0.0117911326,0.00089,-0.0005600388909769834,-0.012604345160702062,-0.013504072404922485,convergence,False,False
696046__147535,696046,147535,2024-12-19,2024-12-30,11,23.325218264047,22.189445728328998,23.309756443461573,22.054440180776222,-0.053853684217171204,0.048692900656310545,-0.005160783560860659,0.043532117095449886,0.013218,0.000301,0.0117713538,0.0116847686,-0.007356,-0.0054621534238743575,0.04323074723243619,0.05024177764182908,convergence,False,False
696046__147535,696046,147535,2025-02-28,2025-03-06,6,20.018662271671,19.82992825,19.441224721378227,19.501053077446024,0.0030773964565106713,0.009427903778470054,0.012505300234980725,0.02193320401345078,0.013218,0.000164,0.0114586908,0.0114797381,0.001837,0.012340916673336888,0.021768820451806944,0.019929747930941887,convergence,False,False
