pair_id,adr_ticker,underlying_ticker,status,n_days,adr_zero_return_pct,loc_zero_return_pct,adr_max_stale_run_days,loc_max_stale_run_days,zero_return_spread_fraction,flagged,flag_reason
512142__929143,512142,929143,ok,2890,0.0069,0.0183,2,2,0.0203,False,
514782__929594,514782,929594,ok,3213,0.0181,0.0442,1,9,0.057,True,['loc_stale_run>5']
514853__997697,514853,997697,ok,3562,0.0444,0.0483,2,2,0.0727,False,
514939__929610,514939,929610,ok,3569,0.1068,0.0586,4,2,0.1126,False,
516146__930446,516146,930446,ok,3001,0.0067,0.0123,1,2,0.0114,False,
516495__932074,516495,932074,ok,3432,0.0073,0.0125,2,1,0.0136,False,
516496__916822,516496,916822,ok,3541,0.013,0.0116,2,1,0.0173,False,
51655V__32146V,51655V,32146V,ok,1695,0.0094,0.0089,1,1,0.0158,False,
516889__916561,516889,916561,ok,3422,0.0149,0.0149,3,2,0.0115,False,
516895__916116,516895,916116,ok,3541,0.0056,0.0147,1,1,0.0159,False,
517131__912003,517131,912003,ok,3210,0.005,0.0237,1,2,0.0206,False,
51825U__41249H,51825U,41249H,ok,821,0.0146,0.0171,2,1,0.0163,False,
53401R__14790N,53401R,14790N,ok,1567,0.0109,0.0166,2,2,0.0218,False,
53401V__932034,53401V,932034,ok,2197,0.0046,0.026,1,2,0.0222,False,
53562J__314054,53562J,314054,ok,3650,0.0066,0.0055,2,1,0.0071,False,
54045T__890954,54045T,890954,ok,3324,0.0193,0.0135,2,1,0.0432,False,
54181K__916020,54181K,916020,ok,3541,0.0141,0.0141,1,2,0.032,False,
54182H__312485,54182H,312485,ok,1058,0.0095,0.0426,1,2,0.0426,False,
54183F__362404,54183F,362404,ok,1272,0.022,0.0126,2,1,0.0245,False,
54183J__922373,54183J,922373,ok,547,0.0055,0.0201,1,1,0.0152,False,
54183M__932051,54183M,932051,ok,514,0.0175,0.0175,1,1,0.0248,False,
54184D__31722D,54184D,31722D,ok,1699,0.0112,0.0088,3,1,0.0134,False,
54185K__140271,54185K,140271,ok,3530,0.0051,0.0077,2,2,0.0095,False,
54185K__8743F9,54185K,8743F9,ok,2904,0.0052,0.1574,1,9,0.1584,True,['loc_stale_run>5']
54186Q__317701,54186Q,317701,ok,3541,0.0178,0.0164,2,2,0.0176,False,
54187L__946076,54187L,946076,ok,3468,0.013,0.0127,2,2,0.0186,False,
54187M__905324,54187M,905324,ok,1326,0.0679,0.0355,4,2,0.0521,False,
54187P__41313D,54187P,41313D,ok,533,0.0188,0.0113,1,1,0.0157,False,
54187R__937334,54187R,937334,ok,2007,0.0075,0.0095,1,1,0.0124,False,
54188K__141076,54188K,141076,ok,1212,0.0099,0.0289,2,5,0.0018,False,
54188Q__930854,54188Q,930854,ok,2843,0.0215,0.0088,1,2,0.0105,False,
54188U__362347,54188U,362347,ok,1585,0.0189,0.1244,2,5,0.1154,False,
54189H__140292,54189H,140292,ok,3540,0.0071,0.0054,1,1,0.0221,False,
54189M__930777,54189M,930777,ok,3541,0.011,0.0116,1,2,0.0169,False,
54189X__930759,54189X,930759,ok,3152,0.0102,0.0435,1,3,0.0437,False,
54190K__315775,54190K,315775,ok,2929,0.013,0.0427,2,2,0.0562,False,
54199R__29042F,54199R,29042F,ok,1499,0.0047,0.0267,1,1,0.0211,False,
54199T__315805,54199T,315805,ok,742,0.0135,0.0243,1,2,0.0281,False,
54233V__28557J,54233V,28557J,ok,2411,0.017,0.0091,1,2,0.0234,False,
